_time,_measurement,device_id,event,loopcount,timecost
2023-09-22T12:12:02Z,sdgp,vm35,,100000,84
2023-09-22T12:16:46Z,sdgp,vm35,,100000,63
2023-09-22T12:09:35Z,sdgp,vm36,startjob,,
2023-09-22T12:12:27Z,sdgp,vm36,endjob,,
2023-09-22T12:22:10Z,sdgp,vm36,startjob,,
2023-09-22T12:26:57Z,sdgp,vm36,endjob,,
2023-09-22T12:11:05Z,sdgp,vm36,,100000,64
2023-09-22T12:25:54Z,sdgp,vm36,,100000,140
2023-09-22T12:18:48Z,sdgp,vm37,startjob,,
2023-09-22T12:22:32Z,sdgp,vm37,endjob,,
2023-09-22T12:21:25Z,sdgp,vm37,,100000,98
2023-09-22T12:21:03Z,sdgp,vm38,startjob,,
2023-09-22T12:27:25Z,sdgp,vm38,endjob,,
2023-09-22T12:30:36Z,sdgp,vm38,startjob,,
2023-09-22T12:33:54Z,sdgp,vm38,endjob,,
2023-09-22T12:26:31Z,sdgp,vm38,,100000,242
2023-09-22T12:33:08Z,sdgp,vm38,,100000,97
2023-09-22T12:17:37Z,sdgp,vm39,startjob,,
2023-09-22T12:21:48Z,sdgp,vm39,endjob,,
2023-09-22T12:32:27Z,sdgp,vm39,startjob,,
2023-09-22T12:20:37Z,sdgp,vm39,,100000,108
2023-09-22T12:35:01Z,sdgp,vm39,,100000,100
2023-09-22T12:07:57Z,sdgp,vm4,endjob,,
2023-09-22T12:13:56Z,sdgp,vm4,startjob,,
2023-09-22T12:17:05Z,sdgp,vm4,endjob,,
2023-09-22T12:26:16Z,sdgp,vm4,startjob,,
2023-09-22T12:30:06Z,sdgp,vm4,endjob,,
2023-09-22T12:33:17Z,sdgp,vm4,startjob,,
2023-09-22T12:07:36Z,sdgp,vm4,,100000,54
2023-09-22T12:16:23Z,sdgp,vm4,,100000,91
2023-09-22T12:29:13Z,sdgp,vm4,,100000,114
2023-09-22T12:14:30Z,sdgp,vm40,startjob,,
2023-09-22T12:17:38Z,sdgp,vm40,endjob,,
2023-09-22T12:16:52Z,sdgp,vm40,,100000,90
2023-09-22T12:10:04Z,sdgp,vm41,startjob,,
2023-09-22T12:13:20Z,sdgp,vm41,endjob,,
2023-09-22T12:22:22Z,sdgp,vm41,startjob,,
2023-09-22T12:25:57Z,sdgp,vm41,endjob,,
2023-09-22T12:29:31Z,sdgp,vm41,startjob,,
2023-09-22T12:32:49Z,sdgp,vm41,endjob,,
2023-09-22T12:12:18Z,sdgp,vm41,,100000,104
2023-09-22T12:25:09Z,sdgp,vm41,,100000,105
2023-09-22T12:32:01Z,sdgp,vm41,,100000,93
2023-09-22T12:33:33Z,sdgp,vm42,startjob,,
2023-09-22T12:11:29Z,sdgp,vm43,startjob,,
2023-09-22T12:14:49Z,sdgp,vm43,endjob,,
2023-09-22T12:26:21Z,sdgp,vm43,startjob,,
2023-09-22T12:29:31Z,sdgp,vm43,endjob,,
2023-09-22T12:33:55Z,sdgp,vm43,startjob,,
2023-09-22T12:14:10Z,sdgp,vm43,,100000,90
2023-09-22T12:28:44Z,sdgp,vm43,,100000,91
2023-09-22T12:17:29Z,sdgp,vm44,startjob,,
2023-09-22T12:21:23Z,sdgp,vm44,endjob,,
2023-09-22T12:20:22Z,sdgp,vm44,,100000,114
2023-09-22T12:11:41Z,sdgp,vm45,startjob,,
2023-09-22T12:16:14Z,sdgp,vm45,endjob,,
2023-09-22T12:21:25Z,sdgp,vm45,startjob,,
2023-09-22T12:26:51Z,sdgp,vm45,endjob,,
2023-09-22T12:33:03Z,sdgp,vm45,startjob,,
2023-09-22T12:15:22Z,sdgp,vm45,,100000,125
2023-09-22T12:25:43Z,sdgp,vm45,,100000,166
2023-09-22T12:19:07Z,sdgp,vm46,startjob,,
2023-09-22T12:23:33Z,sdgp,vm46,endjob,,
2023-09-22T12:22:35Z,sdgp,vm46,,100000,133
2023-09-22T12:13:39Z,sdgp,vm47,startjob,,
2023-09-22T12:16:42Z,sdgp,vm47,endjob,,
2023-09-22T12:28:38Z,sdgp,vm47,startjob,,
2023-09-22T12:32:00Z,sdgp,vm47,endjob,,
2023-09-22T12:35:06Z,sdgp,vm47,startjob,,
2023-09-22T12:15:59Z,sdgp,vm47,,100000,81
2023-09-22T12:31:16Z,sdgp,vm47,,100000,101
2023-09-22T12:11:39Z,sdgp,vm48,startjob,,
2023-09-22T12:14:23Z,sdgp,vm48,endjob,,
2023-09-22T12:22:01Z,sdgp,vm48,startjob,,
2023-09-22T12:25:48Z,sdgp,vm48,endjob,,
2023-09-22T12:29:44Z,sdgp,vm48,startjob,,
2023-09-22T12:33:07Z,sdgp,vm48,endjob,,
2023-09-22T12:13:47Z,sdgp,vm48,,100000,72
2023-09-22T12:24:56Z,sdgp,vm48,,100000,109
2023-09-22T12:32:18Z,sdgp,vm48,,100000,97
2023-09-22T12:18:39Z,sdgp,vm49,startjob,,
2023-09-22T12:24:10Z,sdgp,vm49,endjob,,
2023-09-22T12:22:56Z,sdgp,vm49,,100000,169
2023-09-22T12:11:36Z,sdgp,vm5,startjob,,
2023-09-22T12:14:15Z,sdgp,vm5,endjob,,
2023-09-22T12:21:01Z,sdgp,vm5,startjob,,
2023-09-22T12:24:43Z,sdgp,vm5,endjob,,
2023-09-22T12:33:32Z,sdgp,vm5,startjob,,
2023-09-22T12:13:43Z,sdgp,vm5,,100000,71
2023-09-22T12:23:48Z,sdgp,vm5,,100000,101
2023-09-22T12:10:34Z,sdgp,vm50,startjob,,
2023-09-22T12:14:17Z,sdgp,vm50,endjob,,
2023-09-22T12:24:59Z,sdgp,vm50,startjob,,
2023-09-22T12:28:14Z,sdgp,vm50,endjob,,
2023-09-22T12:30:28Z,sdgp,vm50,startjob,,
2023-09-22T12:33:57Z,sdgp,vm50,endjob,,
2023-09-22T12:13:32Z,sdgp,vm50,,100000,97
2023-09-22T12:27:28Z,sdgp,vm50,,100000,95
2023-09-22T12:33:08Z,sdgp,vm50,,100000,104
2023-09-22T12:17:56Z,sdgp,vm51,startjob,,
2023-09-22T12:21:53Z,sdgp,vm51,endjob,,
2023-09-22T12:20:49Z,sdgp,vm51,,100000,112
2023-09-22T12:14:36Z,sdgp,vm52,startjob,,
2023-09-22T12:17:17Z,sdgp,vm52,endjob,,
2023-09-22T12:26:44Z,sdgp,vm52,startjob,,
2023-09-22T12:30:00Z,sdgp,vm52,endjob,,
2023-09-22T12:33:15Z,sdgp,vm52,startjob,,
2023-09-22T12:16:32Z,sdgp,vm52,,100000,68
2023-09-22T12:29:12Z,sdgp,vm52,,100000,95
2023-09-22T12:11:46Z,sdgp,vm53,startjob,,
2023-09-22T12:14:32Z,sdgp,vm53,endjob,,
2023-09-22T12:30:30Z,sdgp,vm53,startjob,,
2023-09-22T12:33:45Z,sdgp,vm53,endjob,,
2023-09-22T12:14:05Z,sdgp,vm53,,100000,84
2023-09-22T12:32:57Z,sdgp,vm53,,100000,93
2023-09-22T12:21:26Z,sdgp,vm54,startjob,,
2023-09-22T12:25:22Z,sdgp,vm54,endjob,,
2023-09-22T12:30:03Z,sdgp,vm54,startjob,,
2023-09-22T12:33:13Z,sdgp,vm54,endjob,,
2023-09-22T12:24:29Z,sdgp,vm54,,100000,110
2023-09-22T12:32:28Z,sdgp,vm54,,100000,92
2023-09-22T12:17:52Z,sdgp,vm55,startjob,,
2023-09-22T12:21:32Z,sdgp,vm55,endjob,,
2023-09-22T12:20:30Z,sdgp,vm55,,100000,99
2023-09-22T12:18:45Z,sdgp,vm56,startjob,,
2023-09-22T12:22:44Z,sdgp,vm56,endjob,,
2023-09-22T12:21:44Z,sdgp,vm56,,100000,117
2023-09-22T12:12:00Z,sdgp,vm57,startjob,,
