#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:20:16Z,sdgp,bmc,43.5,41.5,43.5,43,6076,6132,6113,6100,40,35.5,35.5,5368,29,167,228.75,4560,26,175,228.75
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:20:40Z,sdgp,bmc,44,41.5,43.5,43,6079,6127,6113,6209,40,35.5,35.5,5368,29,167,229.25,4560,26,175,229.25
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:21:02Z,sdgp,bmc,44,41.5,43.5,43,6233,6281,6264,6252,40,35.5,35.5,5368,29,168,229.25,4560,26,177,229
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:21:25Z,sdgp,bmc,43.5,41.5,43.5,43,6230,6281,6270,6255,40,35.5,35.5,5368,29,167,229,4528,26,175,228.5
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:21:49Z,sdgp,bmc,43.5,41.5,43.5,43,6233,6280,6266,6254,40,35.5,35.5,5368,29,167,229.25,4528,26,175,229.5
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:22:12Z,sdgp,bmc,43.5,41.5,43.5,43,6232,6284,6270,6256,40,35.5,35.5,5368,29,167,229.25,4528,26,175,229
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:22:35Z,sdgp,bmc,43.5,41.5,43,43,6235,6280,6270,6254,40,35.5,35.5,5368,29,167,228.75,4528,26,175,229
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:22:58Z,sdgp,bmc,43.5,41.5,43,43,6233,6282,6264,6254,40,35.5,35.5,5368,29,166,229,4560,26,175,229
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:23:21Z,sdgp,bmc,43.5,41.5,42.5,43,6234,6282,6270,6254,40,35.5,35.5,5336,29,167,229,4528,26,175,229
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:23:44Z,sdgp,bmc,43.5,41.5,43,43,6233,6282,6267,6254,40,35.5,35.5,5368,29,167,229.25,4528,26,174,229.25
